# Source: EPA eGRID2023 Summary Tables rev2 (June 2025), Tables 1 and 2.
# CO2e is EPA's published ANNUAL TOTAL OUTPUT column (not non-baseload, never
# recomputed from CH4/N2O). Grid gross loss and mix converted fraction->percent.
# gwp_set determined by fit against EPA's own CO2e column (see build_data.py).
egrid_year,subregion,subregion_name,co2e_lb_per_mwh,co2_lb_per_mwh,grid_gross_loss_pct,pct_coal,pct_natural_gas,pct_oil,pct_nuclear,pct_hydro,pct_wind,pct_solar,pct_geothermal,pct_biomass,pct_other,gwp_set,data_quality
2023,AKGD,ASCC Alaska Grid,905.109,899.633,4.1,14.3,60.4,9.0,0.0,13.9,1.6,0.0,0.0,0.8,0.0,AR5,PUBLISHED
2023,AKMS,ASCC Miscellaneous,522.4,520.483,4.1,0.0,6.5,24.6,0.0,67.2,1.8,0.0,0.0,0.0,0.0,AR5,PUBLISHED
2023,AZNM,WECC Southwest,706.189,703.703,4.1,11.1,48.7,0.0,18.0,2.6,7.7,8.2,3.6,0.3,0.0,AR5,PUBLISHED
2023,CAMX,WECC California,429.983,428.464,4.1,2.1,42.9,0.0,8.0,14.1,6.6,20.1,3.6,2.2,0.7,AR5,PUBLISHED
2023,ERCT,ERCOT All,736.629,733.862,4.2,12.7,49.6,0.0,8.5,0.1,22.6,5.9,0.0,0.2,0.4,AR5,PUBLISHED
2023,FRCC,FRCC All,784.785,782.262,4.2,4.5,75.5,0.5,12.0,0.1,0.0,5.4,0.0,1.1,1.0,AR5,PUBLISHED
2023,HIMS,HICC Miscellaneous,1133.294,1123.371,4.4,0.0,0.0,65.9,0.0,3.6,12.1,6.4,7.4,4.7,0.0,AR5,PUBLISHED
2023,HIOA,HICC Oahu,1498.947,1489.548,4.4,0.0,0.0,83.1,0.0,0.0,4.3,7.4,0.0,2.5,2.7,AR5,PUBLISHED
2023,MROE,MRO East,1404.963,1397.313,4.2,39.5,42.9,0.3,0.0,4.3,5.4,4.7,0.0,3.0,0.0,AR5,PUBLISHED
2023,MROW,MRO West,926.552,920.13,4.2,35.2,13.1,0.1,7.8,4.1,37.6,1.2,0.0,0.7,0.3,AR5,PUBLISHED
2023,NEWE,NPCC New England,543.178,539.275,4.2,0.2,55.9,0.4,22.6,8.0,3.4,3.6,0.0,4.3,1.7,AR5,PUBLISHED
2023,NWPP,WECC Northwest,635.267,631.735,4.1,16.4,24.8,0.2,3.1,38.7,11.6,3.1,0.7,1.0,0.4,AR5,PUBLISHED
2023,NYCW,NPCC NYC/Westchester,865.744,864.469,4.2,0.0,98.2,0.5,0.0,0.0,0.0,0.1,0.0,0.5,0.7,AR5,PUBLISHED
2023,NYLI,NPCC Long Island,1189.333,1180.672,4.2,0.0,87.2,1.5,0.0,0.0,0.0,2.5,0.0,4.0,4.8,AR5,PUBLISHED
2023,NYUP,NPCC Upstate NY,242.776,242.089,4.2,0.0,25.5,0.1,32.3,32.9,5.6,2.1,0.0,1.2,0.3,AR5,PUBLISHED
2023,PRMS,Puerto Rico Miscellaneous,1548.53,1543.073,4.2,15.2,43.6,39.0,0.0,0.2,0.6,1.5,0.0,0.0,0.0,AR5,PUBLISHED
2023,RFCE,RFC East,599.17,596.904,4.2,4.7,54.1,0.1,36.4,1.1,1.0,1.0,0.0,0.9,0.7,AR5,PUBLISHED
2023,RFCM,RFC Michigan,975.978,970.617,4.2,25.7,49.8,1.5,10.2,0.0,8.8,1.3,0.0,1.5,1.6,AR5,PUBLISHED
2023,RFCW,RFC West,916.054,911.424,4.2,25.0,37.8,0.3,28.4,1.0,5.5,0.8,0.0,0.3,0.8,AR5,PUBLISHED
2023,RMPA,WECC Rockies,1042.539,1036.601,4.1,31.7,26.4,0.1,0.0,10.5,25.8,5.4,0.0,0.2,0.0,AR5,PUBLISHED
2023,SPNO,SPP North,867.74,861.999,4.2,31.6,14.0,0.2,14.0,0.1,39.7,0.2,0.0,0.1,0.0,AR5,PUBLISHED
2023,SPSO,SPP South,875.567,872.042,4.2,16.2,46.1,0.5,0.0,2.5,32.5,0.4,0.0,1.2,0.4,AR5,PUBLISHED
2023,SRMV,SERC Mississippi Valley,741.741,739.72,4.2,8.2,65.2,0.1,22.1,1.3,0.0,0.7,0.0,1.0,1.3,AR5,PUBLISHED
2023,SRMW,SERC Midwest,1248.582,1239.839,4.2,51.1,16.9,0.1,16.4,0.9,12.5,1.6,0.0,0.1,0.4,AR5,PUBLISHED
2023,SRSO,SERC South,846.007,842.329,4.2,14.5,55.4,0.1,20.4,2.4,0.0,3.6,0.0,3.6,0.0,AR5,PUBLISHED
2023,SRTV,SERC Tennessee Valley,903.306,898.079,4.2,28.2,29.8,0.1,32.8,7.6,0.0,0.8,0.0,0.7,0.0,AR5,PUBLISHED
2023,SRVC,SERC Virginia/Carolina,596.326,593.419,4.2,10.5,39.3,0.1,39.9,1.4,0.5,6.0,0.0,2.1,0.3,AR5,PUBLISHED
2023,US,U.S. average,770.884,767.209,4.2,16.1,43.2,0.5,18.5,5.7,10.0,3.9,0.4,1.1,0.6,AR5,PUBLISHED
