# Per-fuel factors. Three groups of columns:
#
# 1. upstream: g CO2e/kWh generated, non-combustion.
#    Source: IPCC AR5 WG3 Annex III Table A.III.2, cross-checked vs NREL LCA Harmonization.
#    scope=upstream_only  -> fossil. IPCC lifecycle median MINUS stack. ADD to reported CEC/eGRID.
#    scope=full_lifecycle -> non-combusting. No stack figure to double-count against.
#
# 2. combustion: g CO2e/kWh at the stack. NOT used in the main factor path (which uses the
#    reported intensity). Used ONLY for the implied-intensity consistency check, which
#    recomputes intensity from the disclosed mix and compares it to the disclosed intensity.
#    A large divergence means a bad disclosure row or a bad join. Fleet averages, not
#    plant-specific - the check is a smoke alarm, not a measurement.
#
# 3. carbon_free_*: THREE definitions, because "carbon-free" is not one thing.
#    strict       - only genuinely non-emitting at the point of generation.
#                   Excludes biomass (it combusts) and geothermal (vents geogenic CO2).
#    conventional - what most public reporting means. Adds biomass and geothermal.
#    rps_ca       - California RPS-eligible renewable, i.e. the "% renewable" number printed
#                   on a Power Content Label. EXCLUDES large hydro and nuclear.
#    These diverge enormously on the same portfolio: a nuclear+large-hydro-heavy utility can
#    be ~90% carbon-free and ~35% RPS-eligible. Always report which definition you used.
#
# unspecified: market purchases not traceable to a generator. Not carbon-free under any
#    definition, but also not characterized. See unspecified_treatment in tier2_factors.py.
fuel,g_co2e_per_kwh,scope,uncertainty_g_co2e_per_kwh,combustion_g_co2e_per_kwh,carbon_free_strict,carbon_free_conventional,carbon_free_rps_ca,notes
natural_gas,97.0,upstream_only,45.0,400.0,FALSE,FALSE,FALSE,Upstream dominated by supply-chain CH4 leakage; very sensitive to leakage rate and GWP horizon
coal,60.0,upstream_only,25.0,950.0,FALSE,FALSE,FALSE,Mine methane plus rail transport
oil,80.0,upstream_only,30.0,700.0,FALSE,FALSE,FALSE,
nuclear,12.0,full_lifecycle,8.0,0.0,TRUE,TRUE,FALSE,Carbon-free but NOT RPS-eligible in CA - this single row explains most of the gap between the two numbers
solar,43.0,full_lifecycle,25.0,0.0,TRUE,TRUE,TRUE,IPCC utility PV median 48 / rooftop 41
wind,12.0,full_lifecycle,7.0,0.0,TRUE,TRUE,TRUE,Onshore median 11; offshore 12
hydro_large,24.0,full_lifecycle,150.0,0.0,TRUE,TRUE,FALSE,Carbon-free but not RPS-eligible in CA. Huge variance - reservoir CH4 in warm climates can exceed gas.
hydro_small,24.0,full_lifecycle,20.0,0.0,TRUE,TRUE,TRUE,CA counts <=30MW conduit hydro as RPS-eligible
geothermal,38.0,full_lifecycle,20.0,0.0,FALSE,TRUE,TRUE,Vents geogenic CO2 - excluded under strict. Geyser fields vary hugely.
biomass,230.0,full_lifecycle,200.0,0.0,FALSE,TRUE,TRUE,"Combustion set to 0 under the biogenic-neutral convention. Gross stack is ~1100 g/kWh. Calling this carbon-free while also charging it 230 g/kWh upstream is internally inconsistent - that is why strict excludes it."
other,97.0,upstream_only,60.0,400.0,FALSE,FALSE,FALSE,Treated as gas-like
unspecified,97.0,upstream_only,60.0,428.0,FALSE,FALSE,FALSE,Combustion = CARB default 0.428 tCO2e/MWh for unspecified power
