# Source: CRS 2025 Residual Mix Emissions Rates (2023 data),
# resource-solutions.org/2025-residual-mix/ ('Adjusted System Mix', 12-month vintage).
# System rates match eGRID2023 CO2e exactly -> series is CO2e; includes_ch4_n2o=TRUE.
# pct_carbon_free_residual derived: (CF_gen - voluntary RE MWh)/(netgen - voluntary),
# conventional carbon-free definition, eGRID Table 2 generation. See build_data.py.
residual_year,subregion,residual_lb_per_mwh,includes_ch4_n2o,pct_carbon_free_residual,source_egrid_vintage,data_quality
2023,AKGD,914.641,TRUE,15.42,2023,PUBLISHED
2023,AKMS,532.729,TRUE,68.39,2023,PUBLISHED
2023,AZNM,707.733,TRUE,40.27,2023,PUBLISHED
2023,CAMX,434.219,TRUE,54.15,2023,PUBLISHED
2023,ERCT,823.811,TRUE,29.88,2023,PUBLISHED
2023,FRCC,801.236,TRUE,16.89,2023,PUBLISHED
2023,HIMS,1133.294,TRUE,34.2,2023,PUBLISHED
2023,HIOA,1498.947,TRUE,14.2,2023,PUBLISHED
2023,MROE,1405.429,TRUE,17.37,2023,PUBLISHED
2023,MROW,977.88,TRUE,48.71,2023,PUBLISHED
2023,NEWE,543.232,TRUE,41.89,2023,PUBLISHED
2023,NWPP,656.535,TRUE,56.8,2023,PUBLISHED
2023,NYCW,865.744,TRUE,0.6,2023,PUBLISHED
2023,NYLI,1189.333,TRUE,6.5,2023,PUBLISHED
2023,NYUP,242.8,TRUE,74.1,2023,PUBLISHED
2023,PRMS,1548.53,TRUE,2.3,2023,PUBLISHED
2023,RFCE,599.238,TRUE,40.39,2023,PUBLISHED
2023,RFCM,988.658,TRUE,20.78,2023,PUBLISHED
2023,RFCW,917.784,TRUE,35.88,2023,PUBLISHED
2023,RMPA,1065.862,TRUE,40.6,2023,PUBLISHED
2023,SPNO,1016.819,TRUE,46.21,2023,PUBLISHED
2023,SPSO,1020.771,TRUE,26.09,2023,PUBLISHED
2023,SRMV,744.957,TRUE,24.78,2023,PUBLISHED
2023,SRMW,1287.869,TRUE,29.34,2023,PUBLISHED
2023,SRSO,855.103,TRUE,29.25,2023,PUBLISHED
2023,SRTV,903.72,TRUE,41.87,2023,PUBLISHED
2023,SRVC,601.889,TRUE,49.43,2023,PUBLISHED
2023,US,797.505,TRUE,37.81,2023,DERIVED_WEIGHTED_MEAN
