# Generated by supplier_candidates.py — EPA wires crosswalk + GeoNames +
# hand-curated 2023 CCA territories. County-grain CCA coverage over-offers in
# partially-covered counties; the supplier picker in the UI is the correction.
# is_default: TRUE = supplier a customer has with no action (CCA in CCA land).
zip,state,supplier_id,default_product,is_default,enrollment_share,notes,data_quality
00016,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
00017,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00017,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
00018,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,TRUE,1.0,,CURATED_APPROXIMATE
00020,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00022,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00026,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00026,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
00028,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00029,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00031,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00032,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00032,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
00033,CA,LIBERTY_UTILITIES_CALPECO_ELECTRIC_LLC,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00034,CA,PACIFICORP,Standard (Default) Electricity,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00035,CA,PACIFICORP,Standard (Default) Electricity,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00037,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00038,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00040,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00040,CA,SOUTHERN_CALIFORNIA_EDISON_COMPANY,SCE Power Mix,FALSE,1.0,,CURATED_APPROXIMATE
00044,CA,LIBERTY_UTILITIES_CALPECO_ELECTRIC_LLC,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00044,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,FALSE,1.0,,CURATED_APPROXIMATE
00047,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00048,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00049,CA,PACIFICORP,Standard (Default) Electricity,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00050,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00051,CA,LIBERTY_UTILITIES_CALPECO_ELECTRIC_LLC,Standard,TRUE,1.0,municipal/co-op,CURATED_APPROXIMATE
00051,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,FALSE,1.0,,CURATED_APPROXIMATE
00052,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00054,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
00057,CA,PACIFIC_GAS_AND_ELECTRIC_COMPANY,Base Plan,TRUE,1.0,,CURATED_APPROXIMATE
