# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
00001,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00002,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00003,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00004,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00005,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00006,AK,62165,Golden Valley Electric Association Inc,AKGD,TRUE
00007,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00008,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00009,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00010,AK,60821,Alaska Village Electric Coop Inc,AKMS,TRUE
00011,AK,1202,Chugach Electric Association Inc,AKGD,TRUE
00011,AK,61849,Homer Electric Association Inc,AKGD,FALSE
00012,CA,61987,Lassen Municipal Utility District,CAMX,TRUE
00013,CA,61987,Lassen Municipal Utility District,CAMX,TRUE
00014,AZ,803,Arizona Public Service Co,AZNM,TRUE
00015,AZ,803,Arizona Public Service Co,AZNM,TRUE
00015,AZ,24211,Tucson Electric Power Co,AZNM,FALSE
00015,AZ,63313,Trico Electric Coop Inc,AZNM,FALSE
00016,CA,17609,Southern California Edison Co,CAMX,TRUE
00017,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00017,CA,17609,Southern California Edison Co,CAMX,FALSE
00018,CA,17609,Southern California Edison Co,CAMX,TRUE
00019,CA,61987,Lassen Municipal Utility District,CAMX,TRUE
00019,CA,62636,Surprise Valley Electric Corp,NWPP,FALSE
00020,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00022,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00026,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00026,CA,17609,Southern California Edison Co,CAMX,FALSE
00027,CO,407959,Black Hills Colorado Electric Utility Co LP,RMPA,TRUE
00027,CO,61885,Intermountain Rural Electric Association,RMPA,FALSE
00027,CO,62321,Mountain View Electric Association Inc,RMPA,FALSE
00028,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00028,CA,62794,Plumas Sierra Rural Electric Coop,CAMX,FALSE
00029,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
00031,CA,14328,Pacific Gas & Electric Co,CAMX,TRUE
