# eGRID2024 BA sheet: BACO2E annual total output rate (BAC2ERTA
# -> kg/kWh). Production-based; imports shape-only per make_real_cache.py note.
#
# PROVENANCE: EPA has not released eGRID2024 (8 months past its stated
# January 2026 date as of this refresh). These rates come from the community
# edition produced by running EPA's own MIT-licensed eGRID code
# (github.com/USEPA/egrid, commit 8932a07) on March 2026 CEMS+EIA inputs,
# published by the Cornerstone Sustainability Data Initiative at
# zenodo.org/records/18968658. Same code and inputs, different publisher --
# so 'calibrated to EPA's published rate' is no longer literally true, and
# the assumptions registry says so. Swap back when EPA ships its own.
ba,ba_name,subregion,egrid_year,kg_co2e_per_kwh,data_quality
AECI,"Associated Electric Cooperative, Inc.",,2024,0.588948,PUBLISHED
AVA,Avista Corporation,,2024,0.152622,PUBLISHED
AVRN,Avangrid Renewables LLC,,2024,0.178612,PUBLISHED
AZPS,Arizona Public Service Company,,2024,0.617447,PUBLISHED
BANC,Balancing Authority of Northern California,,2024,0.21559,PUBLISHED
BPAT,Bonneville Power Administration,,2024,0.079857,PUBLISHED
CHPD,Public Utility District No. 1 of Chelan County,,2024,0.0,PUBLISHED
CISO,California Independent System Operator,,2024,0.149437,PUBLISHED
CPLE,Duke Energy Progress East,,2024,0.256329,PUBLISHED
CPLW,Duke Energy Progress West,,2024,0.0,PUBLISHED
DEAA,"Arlington Valley, LLC - AVBA",,2024,0.387012,PUBLISHED
DOPD,PUD No. 1 of Douglas County,,2024,0.0,PUBLISHED
DUK,Duke Energy Carolinas,,2024,0.233787,PUBLISHED
EPE,El Paso Electric Company,,2024,0.456078,PUBLISHED
ERCO,"Electric Reliability Council of Texas, Inc.",,2024,0.319096,PUBLISHED
FMPP,Florida Municipal Power Pool,,2024,0.513303,PUBLISHED
FPC,Duke Energy Florida Inc,,2024,0.421513,PUBLISHED
FPL,Florida Power & Light Company,,2024,0.287748,PUBLISHED
GCPD,"Public Utility District No. 2 of Grant County, Washington",,2024,0.0,PUBLISHED
GRID,"Gridforce Energy Management, LLC",,2024,0.399127,PUBLISHED
GVL,Gainesville Regional Utilities,,2024,0.503672,PUBLISHED
GWA,"NaturEner Power Watch, LLC (GWA)",,2024,0.0,PUBLISHED
HGMA,"New Harquahala Generating Company, LLC - HGBA",,2024,0.380625,PUBLISHED
HST,City of Homestead,,2024,-0.180088,PUBLISHED
IID,Imperial Irrigation District,,2024,0.117619,PUBLISHED
IPCO,Idaho Power Company,,2024,0.121278,PUBLISHED
ISNE,ISO New England Inc.,,2024,0.247902,PUBLISHED
JEA,JEA,,2024,0.507845,PUBLISHED
LDWP,Los Angeles Department of Water and Power,,2024,0.489281,PUBLISHED
LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,,2024,0.859592,PUBLISHED
MISO,"Midcontinent Independent Transmission System Operator, Inc..",,2024,0.429459,PUBLISHED
NEVP,Nevada Power Company,,2024,0.305895,PUBLISHED
NWMT,NorthWestern Energy (NWMT),,2024,0.637251,PUBLISHED
NYIS,New York Independent System Operator,,2024,0.224802,PUBLISHED
PACE,PacifiCorp - East,,2024,0.581846,PUBLISHED
PACW,PacifiCorp - West,,2024,0.153823,PUBLISHED
PGE,Portland General Electric Company,,2024,0.356554,PUBLISHED
PJM,"PJM Interconnection, LLC",,2024,0.328096,PUBLISHED
PNM,Public Service Company of New Mexico,,2024,0.136411,PUBLISHED
PSCO,Public Service Company of Colorado,,2024,0.325391,PUBLISHED
PSEI,Puget Sound Energy,,2024,0.280179,PUBLISHED
SC,South Carolina Public Service Authority,,2024,0.788809,PUBLISHED
SCEG,South Carolina Electric & Gas Company,,2024,0.356602,PUBLISHED
SCL,Seattle City Light,,2024,0.000471,PUBLISHED
SEC,Seminole Electric Cooperative,,2024,0.463026,PUBLISHED
SEPA,Southeastern Power Administration,,2024,2.4e-05,PUBLISHED
SOCO,"Southern Company Services, Inc. - Trans",,2024,0.363442,PUBLISHED
SPA,Southwestern Power Administration,,2024,0.260528,PUBLISHED
SRP,Salt River Project,,2024,0.240336,PUBLISHED
SWPP,Southwest Power Pool,,2024,0.381293,PUBLISHED
TAL,City of Tallahassee,,2024,0.368828,PUBLISHED
TEC,Tampa Electric Company,,2024,0.335642,PUBLISHED
TEPC,Tucson Electric Power Company,,2024,0.686788,PUBLISHED
TIDC,Turlock Irrigation District,,2024,0.359492,PUBLISHED
TPWR,"City of Tacoma, Department of Public Utilities, Light Division",,2024,0.0,PUBLISHED
TVA,Tennessee Valley Authority,,2024,0.315306,PUBLISHED
WACM,Western Area Power Administration - Rocky Mountain Region,,2024,0.812825,PUBLISHED
WALC,Western Area Power Administration - Desert Southwest Region,,2024,0.192723,PUBLISHED
WAUW,Western Area Power Administration UGP West,,2024,0.0,PUBLISHED
WWA,"NaturEner Wind Watch, LLC",,2024,0.0,PUBLISHED
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",,2024,0.0,PUBLISHED
