ba,year,alpha,egrid_kg_per_kwh,kg_per_kwh_flat,kg_per_kwh_load_weighted,uplift_pct,predicted_uplift_pct,rho,cv_load,cv_intensity,upstream_kg_per_kwh,monthly_kg_per_kwh,warnings,subregion
AECI,2024,0.89634,0.586136,0.658307,0.657447,-0.131,0.736,0.1163,0.4306,0.147,0.072213,"{""1"": 0.676376, ""2"": 0.549377, ""3"": 0.530429, ""4"": 0.540542, ""5"": 0.625509, ""6"": 0.64911, ""7"": 0.723249, ""8"": 0.700336, ""9"": 0.719776, ""10"": 0.722059, ""11"": 0.691631, ""12"": 0.729869}",,
AVA,2024,0.95042,0.1649,0.219738,0.310248,41.19,0.124,0.0055,0.3952,0.5753,0.069586,"{""1"": 0.228713, ""2"": 0.220785, ""3"": 0.199192, ""4"": 0.086628, ""5"": 0.035009, ""6"": 0.076727, ""7"": 0.472125, ""8"": 0.477169, ""9"": 0.477169, ""10"": 0.477169, ""11"": 0.477169, ""12"": 0.477169}",,
AVRN,2024,0.72466,0.1677,0.228912,0.290296,26.816,0.487,0.0282,0.3814,0.453,0.074838,"{""1"": 0.282431, ""2"": 0.247575, ""3"": 0.235765, ""4"": 0.173956, ""5"": 0.047888, ""6"": 0.15482, ""7"": 0.382612, ""8"": 0.386863, ""9"": 0.386863, ""10"": 0.386863, ""11"": 0.386863, ""12"": 0.386863}","alpha=0.725 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
AZPS,2024,1.15641,0.661062,0.734307,0.738982,0.637,0.822,0.07,0.6451,0.1822,0.073293,"{""1"": 0.812959, ""2"": 0.740652, ""3"": 0.563689, ""4"": 0.564865, ""5"": 0.606625, ""6"": 0.630093, ""7"": 0.834126, ""8"": 0.795869, ""9"": 0.834539, ""10"": 0.782717, ""11"": 0.755328, ""12"": 0.80067}",,
BANC,2024,0.63362,0.174212,0.248956,0.270415,8.62,1.716,0.0905,0.5319,0.3564,0.078529,"{""1"": 0.284487, ""2"": 0.176991, ""3"": 0.159629, ""4"": 0.127268, ""5"": 0.135808, ""6"": 0.178366, ""7"": 0.346796, ""8"": 0.350446, ""9"": 0.350446, ""10"": 0.350446, ""11"": 0.350446, ""12"": 0.350446}","alpha=0.634 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
BPAT,2024,2.17998,0.09691,0.125637,0.216471,72.299,-2.583,-0.091,0.3813,0.7448,0.034631,"{""1"": 0.098405, ""2"": 0.105284, ""3"": 0.084712, ""4"": 0.082287, ""5"": 0.027326, ""6"": 0.048226, ""7"": 0.423571, ""8"": 0.411258, ""9"": 0.441549, ""10"": 0.373324, ""11"": 0.290404, ""12"": 0.276831}","alpha=2.180 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
CHPD,2024,1.0,0.0,0.023967,0.023959,-0.033,0.009,0.0968,0.3686,0.0025,0.023957,"{""1"": 0.023967, ""2"": 0.023957, ""3"": 0.023956, ""4"": 0.023942, ""5"": 0.023955, ""6"": 0.023978, ""7"": 0.023977, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 4367/8784 usable hours; calibration is thin.,
CISO,2024,0.7284,0.168124,0.23438,0.249951,6.644,0.404,0.0308,0.3785,0.3463,0.068402,"{""1"": 0.245888, ""2"": 0.206598, ""3"": 0.158488, ""4"": 0.151248, ""5"": 0.130836, ""6"": 0.152245, ""7"": 0.333797, ""8"": 0.330452, ""9"": 0.327105, ""10"": 0.327164, ""11"": 0.316524, ""12"": 0.316331}","alpha=0.728 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
CPLE,2024,0.93468,0.219338,0.260655,0.263185,0.971,5.209,0.3468,0.4328,0.347,0.040675,"{""1"": 0.269263, ""2"": 0.243512, ""3"": 0.194996, ""4"": 0.234979, ""5"": 0.254656, ""6"": 0.297767, ""7"": 0.338035, ""8"": 0.314915, ""9"": 0.19905, ""10"": 0.193889, ""11"": 0.269053, ""12"": 0.308453}",,
CPLW,2024,0.0,0.0,0.090732,0.0905,-0.256,-0.462,-0.1144,0.4126,0.0979,0.09092,"{""1"": 0.085226, ""2"": 0.086204, ""3"": 0.076525, ""4"": 0.080977, ""5"": 0.084473, ""6"": 0.090243, ""7"": 0.096991, ""8"": 0.096996, ""9"": 0.096989, ""10"": 0.09698, ""11"": 0.096993, ""12"": 0.097001}","alpha=0.000 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
DEAA,2024,0.99098,0.396393,0.493393,0.493393,0.0,0.0,0.0,0.6497,0.0,0.097,"{""1"": 0.493393, ""2"": 0.493393, ""3"": 0.493393, ""4"": 0.493393, ""5"": 0.493393, ""6"": 0.493393, ""7"": 0.493393, ""8"": 0.493393, ""9"": 0.493393, ""10"": 0.493393, ""11"": 0.493393, ""12"": 0.493393}",,
DOPD,2024,1.0,0.0,0.024,0.024,0.0,-0.0,-0.0,0.3686,0.0,0.024,"{""1"": 0.024, ""2"": 0.024, ""3"": 0.024, ""4"": 0.024, ""5"": 0.024, ""6"": 0.024, ""7"": 0.024, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 4367/8784 usable hours; calibration is thin.,
DUK,2024,0.78512,0.220583,0.262425,0.263786,0.519,3.32,0.3809,0.4283,0.2035,0.041224,"{""1"": 0.262084, ""2"": 0.240612, ""3"": 0.219771, ""4"": 0.199804, ""5"": 0.239846, ""6"": 0.296703, ""7"": 0.31923, ""8"": 0.299352, ""9"": 0.295585, ""10"": 0.272871, ""11"": 0.217334, ""12"": 0.261121}","alpha=0.785 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
EPE,2024,1.21337,0.458924,0.552984,0.548104,-0.882,0.767,0.1047,0.5265,0.139,0.093154,"{""1"": 0.534257, ""2"": 0.519988, ""3"": 0.496687, ""4"": 0.48493, ""5"": 0.478007, ""6"": 0.524796, ""7"": 0.582224, ""8"": 0.58235, ""9"": 0.58235, ""10"": 0.58235, ""11"": 0.58235, ""12"": 0.58235}",,
ERCO,2024,0.93371,0.334197,0.400387,0.415341,3.735,0.926,0.0595,0.5496,0.2833,0.066949,"{""1"": 0.378146, ""2"": 0.273909, ""3"": 0.281853, ""4"": 0.288401, ""5"": 0.332522, ""6"": 0.334555, ""7"": 0.511933, ""8"": 0.511709, ""9"": 0.511343, ""10"": 0.521409, ""11"": 0.511658, ""12"": 0.507256}",,
FMPP,2024,1.10543,0.524496,0.609256,0.611174,0.315,1.503,0.371,0.4039,0.1003,0.084821,"{""1"": 0.609737, ""2"": 0.57519, ""3"": 0.597443, ""4"": 0.567873, ""5"": 0.575407, ""6"": 0.625045, ""7"": 0.638219, ""8"": 0.649715, ""9"": 0.651952, ""10"": 0.616673, ""11"": 0.564062, ""12"": 0.630604}",,
FPC,2024,1.03421,0.441256,0.533561,0.534457,0.168,0.884,0.2426,0.4088,0.0892,0.092615,"{""1"": 0.541447, ""2"": 0.509667, ""3"": 0.500854, ""4"": 0.50221, ""5"": 0.511733, ""6"": 0.545011, ""7"": 0.572891, ""8"": 0.557504, ""9"": 0.561373, ""10"": 0.511033, ""11"": 0.523146, ""12"": 0.548249}",,
FPL,2024,0.91579,0.271524,0.347991,0.351027,0.873,2.57,0.4765,0.3831,0.1408,0.075273,"{""1"": 0.295482, ""2"": 0.297419, ""3"": 0.332282, ""4"": 0.315489, ""5"": 0.338687, ""6"": 0.34885, ""7"": 0.377676, ""8"": 0.377039, ""9"": 0.396084, ""10"": 0.392879, ""11"": 0.360148, ""12"": 0.331023}",,
GCPD,2024,1.0,0.0,0.024,0.024,0.0,-0.0,-0.0,0.3686,0.0,0.024,"{""1"": 0.024, ""2"": 0.024, ""3"": 0.024, ""4"": 0.024, ""5"": 0.024, ""6"": 0.024, ""7"": 0.024, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 4367/8784 usable hours; calibration is thin.,
GRID,2024,0.87347,0.399074,0.483664,0.475685,-1.65,0.585,0.0773,0.3813,0.1986,0.083954,"{""1"": 0.480467, ""2"": 0.472925, ""3"": 0.438849, ""4"": 0.369795, ""5"": 0.339615, ""6"": 0.363909, ""7"": 0.534896, ""8"": 0.53929, ""9"": 0.520918, ""10"": 0.552135, ""11"": 0.544432, ""12"": 0.524128}",,
GVL,2024,1.79757,0.719027,0.816027,0.816027,0.0,,,0.4391,0.0,0.097,"{""1"": 0.816027, ""2"": 0.816027, ""3"": 0.816027, ""4"": 0.816027, ""5"": 0.816027, ""6"": 0.816027, ""7"": 0.816027, ""8"": 0.816027, ""9"": 0.816027, ""10"": 0.816027, ""11"": 0.816027, ""12"": 0.816027}","alpha=1.798 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
GWA,2024,1.0,0.0,0.012,0.012,0.0,0.0,0.0,0.3685,0.0,0.012,"{""1"": 0.012, ""2"": 0.012, ""3"": 0.012, ""4"": 0.012, ""5"": 0.012, ""6"": 0.012, ""7"": 0.012, ""8"": NaN, ""9"": NaN, ""10"": NaN, ""11"": NaN, ""12"": NaN}",Only 3573/8784 usable hours; calibration is thin.,
HGMA,2024,0.9452,0.378081,0.475081,0.475081,-0.0,0.0,0.0,0.5679,0.0,0.097,"{""1"": 0.475081, ""2"": NaN, ""3"": NaN, ""4"": NaN, ""5"": 0.475081, ""6"": 0.475081, ""7"": 0.475081, ""8"": 0.475081, ""9"": 0.475081, ""10"": 0.475081, ""11"": 0.475081, ""12"": 0.475081}",,
HST,2024,-0.03017,-0.012069,0.084931,0.084931,0.0,0.0,0.0,0.2725,0.0,0.097,"{""1"": 0.084931, ""2"": 0.084931, ""3"": 0.084931, ""4"": 0.084931, ""5"": 0.084931, ""6"": 0.084931, ""7"": 0.084931, ""8"": 0.084931, ""9"": 0.084931, ""10"": 0.084931, ""11"": 0.084931, ""12"": NaN}","Only 499/8784 usable hours; calibration is thin. | alpha=-0.030 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
IID,2024,0.4791,0.113954,0.188086,0.237963,26.519,3.074,0.1337,0.6619,0.3473,0.083393,"{""1"": 0.228766, ""2"": 0.214284, ""3"": 0.181074, ""4"": 0.129265, ""5"": 0.127384, ""6"": 0.164869, ""7"": 0.287479, ""8"": 0.288641, ""9"": 0.288641, ""10"": 0.288641, ""11"": 0.288641, ""12"": 0.288641}","alpha=0.479 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
IPCO,2024,0.68698,0.102205,0.153148,0.235553,53.807,0.449,0.018,0.413,0.6043,0.06806,"{""1"": 0.152879, ""2"": 0.123419, ""3"": 0.102673, ""4"": 0.051378, ""5"": 0.044297, ""6"": 0.100537, ""7"": 0.368032, ""8"": 0.371793, ""9"": 0.371796, ""10"": 0.371795, ""11"": 0.371794, ""12"": 0.371796}","alpha=0.687 outside (0.8, 1.25). This is a structural problem - likely a BA/subregion mismatch, a fuel taxonomy misjoin, or the wrong eGRID vintage. Do not ship this factor.",
ISNE,2024,0.95261,0.247329,0.314595,0.314389,-0.066,0.674,0.0882,0.4021,0.1899,0.066877,"{""1"": 0.297125, ""2"": 0.257419, ""3"": 0.263673, ""4"": 0.237084, ""5"": 0.257879, ""6"": 0.299228, ""7"": 0.362882, ""8"": 0.352822, ""9"": 0.355957, ""10"": 0.407115, ""11"": 0.361322, ""12"": 0.334455}",,
